1,Mooey,60.8002219378097,60.313102686637386,62.90021199141762
2,Daisy,60.36394307143738,75.63152333019586,13.52894977654524
3,Buttercup,63.975964587602235,42.47412734840839,84.99274923222447
4,Bessie,53.56493627895842,55.315882307252096,65.83556781226909
5,Clarabelle,44.517647837032726,48.10166722172175,55.48211686657087
6,Clover,45.58832518021951,51.69566016429761,51.86477637845585
7,Holly,54.934928393433836,60.27077078565169,25.805711651208018
8,Rosie,62.662751836658224,49.86466455033866,60.83725175609225
9,Luna,60.8927520321233,65.24938199872614,0.0
10,Molly,58.88889372163374,38.35354629129694,8.581105505706333
11,Ginger,64.19231878603902,74.70730494564981,10.766411349424544
12,Matilda,60.023889464298605,70.85141025918342,82.42398093268879
13,Penelope,64.59362334563585,80.80384447640871,100.0
14,Fiona,59.1733219133373,89.69839699327989,62.433280941281716
15,Hazel,59.04686022925816,55.23355031283938,83.0274258777744
16,Freckles,76.59982671837302,54.142967734331,35.369430223693115
17,Petal,70.10054053731261,59.99204703697346,100.0
18,Dottie,60.421280039232215,41.13350963395008,62.74886744314247
19,Pumpkin,60.147845839724525,76.57100209724742,71.28135316156802
20,Ruby,55.316614633638714,54.89359789945971,69.68823671458182
21,Willow,50.2013811354942,45.49074959726139,55.77480390178067
22,Clementine,68.91944087672833,70.12910999462144,54.39456457684616
23,Poppy,63.774037038756404,79.27784246520159,100.0
24,Jasmine,60.7360139361805,13.676957226717855,29.691852285351487
25,Lily,51.23453403218851,46.87756937520518,67.39631608750503
26,Bella,59.84469185105448,55.80978606187999,31.330844031317223
27,Lucy,49.62399663204004,45.14149430726871,22.37862459932193
28,Charlotte,64.62161511496483,66.11783265311631,38.726241568837295
29,Stella,59.12046377357324,59.11407106919967,77.16827856008821
30,Sadie,61.31218995813041,58.44828322526681,14.678608600970101
31,Lola,57.24312020921445,43.73937044902877,33.427134761395976
32,Annie,59.62810482235423,100,22.738191203080763
33,Elsie,58.50611476430157,69.21780471576636,88.36175572652343
34,Millie,51.23944609797221,87.23524262543978,46.2008766368871
35,Pearl,57.8977313080286,44.883057350355045,34.254133574949975
36,Rosabelle,61.990582983632606,52.810742616052664,4.744572594701708
37,Winnie,48.30862395122109,62.057267556880674,1.3813068620934246
38,Beatrice,58.93699816590909,63.05557209378099,65.50010887472308
39,Phoebe,65.25583387403236,66.8453926147734,93.48674699317641
40,Violet,58.12775668961173,57.1758389942723,43.20772383101649
41,Maisie,65.10397814884223,77.70864625415226,74.70516656324033
42,Minnie,65.7802085242771,50.28867208054264,0.0
43,Olive,56.93940382389678,61.9234509551673,34.546375336127326
44,Georgia,60.88725691973098,61.40727446736033,100.0
45,Delilah,56.628199210030225,60.85722966170426,59.887233108014826
46,Honey,59.56881978911868,70.42783348187396,5.477288364812608
47,Marigold,67.66281478687469,40.00085593286298,67.40833981388917
48,Delia,68.29581321275275,71.56915659982592,13.824862151210986
49,Juniper,46.926422572138385,63.82369163515852,39.341617018442115
50,Martha,69.06854300314399,74.10113403881543,28.50151088703295
51,Greta,61.53295142769702,33.2731111388764,100.0
52,Tulip,64.42559246877929,82.11239915178474,2.009997239864056
53,Daphne,58.34017311454145,42.75608750448313,58.52341324317557
54,Fern,59.392673657753114,66.54474864988207,24.9690887382335
55,Opal,58.23341050462918,67.43790540242252,68.90968519657295
56,Betty,70.14099369620327,67.72028851177316,18.78572691868777
57,Daisy Mae,57.607216392643906,70.93109456379449,58.528285781907265
58,Coco,60.696943696284066,83.18370598009776,61.67644245765291
59,Eleanor,60.71971728071361,47.187586114419524,83.88839997417709
60,Nellie,59.81071646508961,60.89801554768958,24.917832326585515
61,Zelda,47.2021235065636,87.393778118832,47.11504523133881
62,Rosie Mae,58.63576199984813,42.04385650217671,72.02024036451519
63,Gertie,68.12832946974753,46.4257855894848,0.0
64,Flora,62.23294378133044,69.57963469472084,100.0
65,Gemma,64.52767814744304,41.78099630835041,41.358168167645324
66,Ada,60.38448524700223,53.48338493845793,26.47595633654711
67,Harriet,57.594776690584396,39.81118957676068,23.86478980938031
68,Mabel,39.15537398336291,80.74796488145869,28.639046178983996
69,Cora,63.28209828415071,68.65542544833359,5.721675567880197
70,Ida,58.898954484330055,52.11930261482205,66.91992448956634
71,Esther,58.8913319220292,73.28475508513515,9.616408691364825
72,Nora,59.60742623544805,51.80132818994407,42.14626063965063
73,Hattie,48.25973750245824,73.92188647439464,23.95723373524257
74,Willa,58.22275612631076,65.18216721086416,52.45731274570316
75,Adelaide,74.8808316951464,51.462798880885366,34.52114947546283
76,Winifred,60.60461934236666,75.29514007928573,80.93631667739581
77,Louise,61.11781264937725,54.62481765030121,17.305774433071598
78,Agnes,61.19727062008602,70.45960426175209,55.47399935075492
79,Bonnie,42.669711451314726,39.381473217912415,62.969411620993355
80,Edith,51.54561301054279,59.32721692937693,27.950803222197695
81,Imogene,55.05732303413311,41.12266305317784,16.87390728369757
82,Josephine,60.8008685927246,45.401702810788734,42.954418352005376
83,Lavender,59.61548705995791,55.059128019556915,70.3181508235252
84,Martha May,59.229207492606626,46.63203700962513,62.1395140440342
85,Ruth,58.757792530241744,49.96133102497226,41.67141222258546
86,Sylvia,58.28311528141627,60.30941360153232,43.49961150814799
87,Tilly,59.20086463526225,47.20125572253578,64.75540038248161
88,Tabitha,61.05483733384613,65.04642074101264,100.0
89,Henrietta,59.295887803558685,77.9840536177489,5.369201067481448
90,Lorraine,60.71419322648084,50.7526053187759,33.94115951652263
91,Maeve,46.22484852971421,86.42726362793965,31.03826692613989
92,Prudence,59.30916903533399,82.11262150874971,16.964836003282628
